"ad_id","xyz_campaign_id","fb_campaign_id","age","gender","interest","Impressions","Clicks","Spent","Total_Conversion","Approved_Conversion"
"ID_708746","CPG_ID_916","FB_ID_103916","30-34","M","Interest_15",7350,1,1.429999948,2,1
"ID_708749","CPG_ID_916","FB_ID_103917","30-34","M","Interest_16",17861,2,1.820000023,2,0
"ID_708771","CPG_ID_916","FB_ID_103920","30-34","M","Interest_20",693,0,0,1,0
"ID_708815","CPG_ID_916","FB_ID_103928","30-34","M","Interest_28",4259,1,1.25,1,0
"ID_708818","CPG_ID_916","FB_ID_103928","30-34","M","Interest_28",4133,1,1.289999962,1,1
"ID_708820","CPG_ID_916","FB_ID_103929","30-34","M","Interest_29",1915,0,0,1,1
"ID_708889","CPG_ID_916","FB_ID_103940","30-34","M","Interest_15",15615,3,4.769999981,1,0
"ID_708895","CPG_ID_916","FB_ID_103941","30-34","M","Interest_16",10951,1,1.269999981,1,1
"ID_708953","CPG_ID_916","FB_ID_103951","30-34","M","Interest_27",2355,1,1.5,1,0
"ID_708958","CPG_ID_916","FB_ID_103952","30-34","M","Interest_28",9502,3,3.159999967,1,0
"ID_708979","CPG_ID_916","FB_ID_103955","30-34","M","Interest_31",1224,0,0,1,0
"ID_709023","CPG_ID_916","FB_ID_103962","30-34","M","Interest_7",735,0,0,1,0
"ID_709038","CPG_ID_916","FB_ID_103965","30-34","M","Interest_16",5117,0,0,1,0
"ID_709040","CPG_ID_916","FB_ID_103965","30-34","M","Interest_16",5120,0,0,1,0
"ID_709059","CPG_ID_916","FB_ID_103968","30-34","M","Interest_20",14669,7,10.28000021,1,1
"ID_709105","CPG_ID_916","FB_ID_103976","30-34","M","Interest_28",1241,0,0,1,1
"ID_709115","CPG_ID_916","FB_ID_103978","30-34","M","Interest_30",2305,1,0.569999993,1,0
"ID_709124","CPG_ID_916","FB_ID_103979","30-34","M","Interest_31",1024,0,0,1,1
"ID_709179","CPG_ID_916","FB_ID_103988","35-39","M","Interest_15",4627,1,1.690000057,1,0
"ID_709183","CPG_ID_916","FB_ID_103989","35-39","M","Interest_16",21026,4,4.630000114,2,1
"ID_709320","CPG_ID_916","FB_ID_104012","35-39","M","Interest_15",1422,0,0,1,1
"ID_709323","CPG_ID_916","FB_ID_104012","35-39","M","Interest_15",7132,2,2.609999895,1,0
"ID_709326","CPG_ID_916","FB_ID_104013","35-39","M","Interest_16",12190,2,3.049999952,1,0
"ID_709327","CPG_ID_916","FB_ID_104013","35-39","M","Interest_16",12193,2,3.059999943,1,1
"ID_709328","CPG_ID_916","FB_ID_104013","35-39","M","Interest_16",3332,0,0,1,1
"ID_709455","CPG_ID_916","FB_ID_104034","35-39","M","Interest_7",559,0,0,1,0
"ID_709544","CPG_ID_916","FB_ID_104049","35-39","M","Interest_29",7440,2,2.980000019,1,1
"ID_709614","CPG_ID_916","FB_ID_104061","40-44","M","Interest_16",19113,4,5.5200001,1,0
"ID_709756","CPG_ID_916","FB_ID_104085","40-44","M","Interest_16",10976,2,1.690000057,1,1
"ID_709761","CPG_ID_916","FB_ID_104085","40-44","M","Interest_16",2861,0,0,1,0
"ID_709899","CPG_ID_916","FB_ID_104108","40-44","M","Interest_15",1398,0,0,1,1
"ID_709901","CPG_ID_916","FB_ID_104109","40-44","M","Interest_16",23817,7,8.470000148,1,1
"ID_710045","CPG_ID_916","FB_ID_104133","45-49","M","Interest_16",47224,12,15.82000017,1,0
"ID_710088","CPG_ID_916","FB_ID_104140","45-49","M","Interest_24",2283,1,1.470000029,1,0
"ID_710360","CPG_ID_916","FB_ID_104185","45-49","M","Interest_21",2182,1,1.529999971,1,1
"ID_710477","CPG_ID_916","FB_ID_104205","30-34","F","Interest_16",2654,0,0,1,1
"ID_710480","CPG_ID_916","FB_ID_104205","30-34","F","Interest_16",57665,14,18.06999969,1,1
"ID_710571","CPG_ID_916","FB_ID_104220","30-34","F","Interest_32",3091,1,1.610000014,1,1
"ID_710617","CPG_ID_916","FB_ID_104228","30-34","F","Interest_15",5014,1,1.190000057,1,0
"ID_710623","CPG_ID_916","FB_ID_104229","30-34","F","Interest_16",38726,7,9.220000267,1,0
"ID_710628","CPG_ID_916","FB_ID_104230","30-34","F","Interest_18",1473,0,0,1,0
"ID_710682","CPG_ID_916","FB_ID_104239","30-34","F","Interest_27",1186,0,0,1,0
"ID_710763","CPG_ID_916","FB_ID_104252","30-34","F","Interest_15",5369,1,1.50999999,1,0
"ID_710836","CPG_ID_916","FB_ID_104265","30-34","F","Interest_29",22221,7,9.430000067,1,1
"ID_710867","CPG_ID_916","FB_ID_104270","30-34","F","Interest_63",1185,0,0,1,0
"ID_710880","CPG_ID_916","FB_ID_104272","30-34","F","Interest_65",13019,5,6.960000038,1,0
"ID_710961","CPG_ID_916","FB_ID_104285","35-39","F","Interest_25",2508,1,1.220000029,1,0
"ID_710968","CPG_ID_916","FB_ID_104287","35-39","F","Interest_27",5864,2,2.799999952,1,1
"ID_711217","CPG_ID_916","FB_ID_104328","35-39","F","Interest_20",2783,1,1.600000024,1,0
"ID_711623","CPG_ID_916","FB_ID_104396","40-44","F","Interest_15",3812,1,1.129999995,2,1
"ID_711764","CPG_ID_916","FB_ID_104419","45-49","F","Interest_10",11199,4,5.730000019,1,1
"ID_711785","CPG_ID_916","FB_ID_104423","45-49","F","Interest_19",292,0,0,1,0
"ID_711877","CPG_ID_916","FB_ID_104438","45-49","F","Interest_63",17572,7,9.379999995,1,0
"ID_712052","CPG_ID_916","FB_ID_104467","45-49","F","Interest_10",1448,0,0,1,1
"ID_734209","CPG_ID_936","FB_ID_108654","30-34","M","Interest_10",1772,0,0,1,1
"ID_734210","CPG_ID_936","FB_ID_108654","30-34","M","Interest_10",13329,4,5.629999995,1,1
"ID_734215","CPG_ID_936","FB_ID_108655","30-34","M","Interest_15",13659,3,3.840000033,1,0
"ID_734243","CPG_ID_936","FB_ID_108660","30-34","M","Interest_21",739,0,0,1,1
"ID_734266","CPG_ID_936","FB_ID_108664","30-34","M","Interest_25",605,0,0,1,0
"ID_734272","CPG_ID_936","FB_ID_108665","30-34","M","Interest_26",1030,0,0,1,0
"ID_734290","CPG_ID_936","FB_ID_108668","30-34","M","Interest_29",5374,1,1.039999962,4,0
"ID_734313","CPG_ID_936","FB_ID_108672","30-34","M","Interest_36",790,0,0,1,1
"ID_734314","CPG_ID_936","FB_ID_108672","30-34","M","Interest_36",962,0,0,1,0
"ID_734352","CPG_ID_936","FB_ID_108678","35-39","M","Interest_10",4423,1,1.460000038,1,1
"ID_734361","CPG_ID_936","FB_ID_108680","35-39","M","Interest_16",12382,2,2.839999914,1,1
"ID_734381","CPG_ID_936","FB_ID_108683","35-39","M","Interest_20",2938,1,1.350000024,1,1
"ID_734399","CPG_ID_936","FB_ID_108686","35-39","M","Interest_23",239,0,0,1,0
"ID_734418","CPG_ID_936","FB_ID_108689","35-39","M","Interest_26",591,0,0,1,0
"ID_734421","CPG_ID_936","FB_ID_108690","35-39","M","Interest_27",10332,4,5.75,1,0
"ID_734427","CPG_ID_936","FB_ID_108691","35-39","M","Interest_28",8259,3,3.980000019,1,0
"ID_734433","CPG_ID_936","FB_ID_108692","35-39","M","Interest_29",12158,3,4.449999928,1,0
"ID_734582","CPG_ID_936","FB_ID_108716","40-44","M","Interest_29",7709,2,1.320000052,2,0
"ID_734605","CPG_ID_936","FB_ID_108720","40-44","M","Interest_36",834,0,0,1,0
"ID_734660","CPG_ID_936","FB_ID_108729","45-49","M","Interest_18",1299,0,0,2,0
"ID_734666","CPG_ID_936","FB_ID_108730","45-49","M","Interest_19",371,0,0,1,0
"ID_734726","CPG_ID_936","FB_ID_108740","45-49","M","Interest_29",10466,3,4.090000033,1,0
"ID_734737","CPG_ID_936","FB_ID_108742","45-49","M","Interest_31",839,0,0,1,0
"ID_734785","CPG_ID_936","FB_ID_108750","30-34","F","Interest_10",5576,1,1.529999971,1,1
"ID_734794","CPG_ID_936","FB_ID_108752","30-34","F","Interest_16",4010,0,0,1,0
"ID_734796","CPG_ID_936","FB_ID_108752","30-34","F","Interest_16",39337,7,10.03000009,1,1
"ID_734800","CPG_ID_936","FB_ID_108753","30-34","F","Interest_18",1635,0,0,1,0
"ID_734803","CPG_ID_936","FB_ID_108753","30-34","F","Interest_18",1631,0,0,1,0
"ID_734852","CPG_ID_936","FB_ID_108761","30-34","F","Interest_26",13479,3,4.25,1,0
"ID_734854","CPG_ID_936","FB_ID_108762","30-34","F","Interest_27",57022,13,20.29000032,3,3
"ID_734856","CPG_ID_936","FB_ID_108762","30-34","F","Interest_27",5453,1,1.389999986,1,1
"ID_734866","CPG_ID_936","FB_ID_108764","30-34","F","Interest_29",11803,3,4.440000057,1,0
"ID_734881","CPG_ID_936","FB_ID_108766","30-34","F","Interest_31",4259,1,1.570000052,1,1
"ID_734901","CPG_ID_936","FB_ID_108770","30-34","F","Interest_64",1554,0,0,1,0
"ID_734903","CPG_ID_936","FB_ID_108770","30-34","F","Interest_64",5323,1,1.289999962,1,1
"ID_734925","CPG_ID_936","FB_ID_108774","35-39","F","Interest_10",5024,1,1.409999967,1,1
"ID_734939","CPG_ID_936","FB_ID_108776","35-39","F","Interest_16",104648,24,33.33000004,4,2
"ID_734968","CPG_ID_936","FB_ID_108781","35-39","F","Interest_22",8504,3,3.340000093,1,1
"ID_734999","CPG_ID_936","FB_ID_108786","35-39","F","Interest_27",20277,6,8.050000072,1,0
"ID_735014","CPG_ID_936","FB_ID_108788","35-39","F","Interest_29",12403,4,5.210000038,1,1
"ID_735032","CPG_ID_936","FB_ID_108791","35-39","F","Interest_32",498,0,0,1,1
"ID_735033","CPG_ID_936","FB_ID_108792","35-39","F","Interest_36",652,0,0,0,0
"ID_735043","CPG_ID_936","FB_ID_108793","35-39","F","Interest_63",1357,0,0,1,1
"ID_735048","CPG_ID_936","FB_ID_108794","35-39","F","Interest_64",1393,0,0,1,0
"ID_735065","CPG_ID_936","FB_ID_108797","40-44","F","Interest_7",648,0,0,1,0
"ID_735109","CPG_ID_936","FB_ID_108804","40-44","F","Interest_21",708,0,0,1,1
"ID_735140","CPG_ID_936","FB_ID_108809","40-44","F","Interest_26",6907,2,2.349999964,1,0
"ID_735143","CPG_ID_936","FB_ID_108810","40-44","F","Interest_27",39035,13,19.32999957,1,0
"ID_735151","CPG_ID_936","FB_ID_108811","40-44","F","Interest_28",926,0,0,1,0
"ID_735184","CPG_ID_936","FB_ID_108817","40-44","F","Interest_63",4412,1,1.450000048,1,0
"ID_735189","CPG_ID_936","FB_ID_108818","40-44","F","Interest_64",9965,3,4.050000072,1,0
"ID_735213","CPG_ID_936","FB_ID_108822","45-49","F","Interest_10",73634,23,32.97999978,1,0
"ID_735220","CPG_ID_936","FB_ID_108823","45-49","F","Interest_15",69708,20,31.28999949,1,0
"ID_735242","CPG_ID_936","FB_ID_108826","45-49","F","Interest_19",530,0,0,1,0
"ID_735247","CPG_ID_936","FB_ID_108827","45-49","F","Interest_20",14257,6,8.789999962,1,0
